,jarak,label
30,0.8531199919724762,2.0
27,1.15063432531189,2.0
29,1.382829051807721,2.0
22,1.60946506877819,2.0
33,1.7081928970794886,2.0
31,2.7669681369503425,2.0
28,3.111560456054113,2.0
35,3.18402508581046,2.0
34,3.536813320195746,2.0
18,3.6077766347286153,1.0
32,4.069843872974813,2.0
26,4.398647377874568,2.0
43,4.784515263191343,3.0
39,4.85713247089718,2.0
20,4.873188953965841,2.0
37,4.881093447393472,2.0
25,5.153892394251499,2.0
19,5.228866913044922,1.0
23,5.381586342113001,2.0
24,5.460719550371774,2.0
4,5.494787346957227,1.0
16,5.524100639520931,1.0
9,5.5312868606086205,1.0
21,5.584960852121219,2.0
12,5.8944885373701,1.0
11,5.974243831270093,1.0
6,6.232716581190365,1.0
7,6.3294546731895425,1.0
36,6.477354068032429,2.0
1,6.487440446348766,1.0
3,6.540211639246303,1.0
38,6.5581435502870695,2.0
2,6.648740920968164,1.0
59,6.670667338008619,3.0
41,6.730753267709436,3.0
13,6.830870890240909,1.0
0,7.0241685259855,1.0
5,7.061271628172644,1.0
14,7.2970161629027235,1.0
54,7.321528672653833,3.0
44,7.680222951513904,3.0
53,8.043641264683668,3.0
49,8.198423131657888,3.0
46,8.772143437511795,3.0
10,8.813444479252546,1.0
8,8.817138316970304,1.0
17,8.817138316970304,1.0
40,9.067877916696354,3.0
58,9.103104751307724,3.0
56,9.124649668200025,3.0
55,9.151127446654968,3.0
57,9.54147600763618,3.0
15,9.6078338131472,1.0
52,9.662823757259945,3.0
50,9.980489389655762,3.0
47,10.047807475195459,3.0
42,10.937672292169776,3.0
45,11.236284499578531,3.0
48,11.473378424665768,3.0
51,12.093362649239277,3.0
